Country,Mentions
United States,280
Russia,107
United Kingdom,79
Germany,41
Japan,33
France,17
Italy,14
Poland,13
North Korea,12
China,10
India,9
Austria,5
Norway,5
Libya,5
Philippines,5
Guinea,4
Finland,4
Pakistan,4
South Korea,4
Greece,4
Israel,4
Denmark,3
Romania,3
Lithuania,3
Hungary,3
Cuba,3
Guam,3
Australia,2
Ukraine,2
Estonia,2
Belgium,2
Netherlands,2
Singapore,2
Solomon Islands,2
South Africa,2
Hong Kong,2
Albania,2
Bangladesh,2
Latvia,2
Egypt,2
Cambodia,2
Canada,2
Congo,2
Thailand,1
Seychelles,1
Rwanda,1
Spain,1
Algeria,1
Angola,1
Sweden,1
Lebanon,1
Papua New Guinea,1
Panama,1
Mozambique,1
Morocco,1
Mongolia,1
Mexico,1
Luxembourg,1
Kenya,1
Iraq,1
Guinea-Bissau,1
Ghana,1
Bulgaria,1
Belarus,1
Afghanistan,1
