Country1,Country2,Count
United States,Russia,8
United States,Japan,6
Germany,Russia,5
Germany,France,5
Poland,Germany,5
Germany,United Kingdom,4
Poland,Russia,4
Yugoslavia,Czechoslovakia,3
India,Pakistan,3
France,United Kingdom,3
Germany,United States,3
United States,Germany,3
France,Russia,3
Italy,Germany,3
Japan,Burma,2
France,Paris,2
Japan,Germany,2
Israel,Russia,2
Japan,Manchuria,2
Italy,Japan,2
Japan,Russia,2
Nagasaki,Hiroshima,2
the United Kingdom,Russia,2
Finland,Russia,2
Russia,Germany,2
Japan,Solomon Islands,2
Estonia,Lithuania,2
Japan,Guam,2
Estonia,Latvia,2
China,India,2
China,Japan,2
Canada,United States,2
China,Manchuria,2
China,North Korea,2
Pakistan,Russia,2
China,Russia,2
North Korea,Russia,2
United States,France,2
India,Russia,2
Czechoslovakia,Poland,2
Australia,Great Britain,1
Borneo,Japan,1
Borneo,China,1
Albania,Romania,1
Albania,Yugoslavia,1
America,United Kingdom,1
Antonia,Blumberg,1
Becky,Ferreira,1
Australia,Philippines,1
Austria,British Empire,1
Cambodia,Vietnam,1
Bali,Burma,1
Bali,Timor,1
Bucharest,Prague,1
Belarus,Leningrad,1
Belarus,Saint Petersburg,1
Bucharest,Belgrade,1
Bulgaria,Poland,1
Cambodia,Laos,1
Cambodia,Indochina,1
Between Germany,Signed,1
Estonia,Russia,1
Estonia,Romania,1
Budapest,Belgrade,1
Budapest,Bucharest,1
Budapest,Prague,1
Budapest,Sofia,1
Budapest,Vienna,1
Budapest,Warsaw,1
Bulgaria,Albania,1
Bulgaria,Czechoslovakia,1
Bulgaria,East Germany,1
Bulgaria,Romania,1
Burgess,Hall,1
Burma,China,1
Belgrade,Prague,1
Empire,the Russian Empire,1
Borneo,Burma,1
Bali,New Guinea,1
Estonia,Finland,1
Egypt,Tobruk,1
Japan,Timor,1
Cuba,Vietnam,1
Cuba,North Korea,1
Canada,Russia,1
Cape Verde,Angola,1
Changsha,Guangxi,1
Changsha,Japan,1
China,Israel,1
China,Mongolia,1
China,Pakistan,1
Cuba,Russia,1
China,Vietnam,1
Chongqing,Shanghai,1
India,Israel,1
Empire,Hungary,1
Empire,France,1
Denmark,Norway,1
Canada,Australia,1
Canada,Great Britain,1
Canada,Japan,1
Czechoslovakia,East Germany,1
Czechoslovakia,Romania,1
Daniel,Sandford,1
East Germany,Albania,1
Empire,British Empire,1
East Germany,Poland,1
East Germany,Romania,1
Czechoslovakia,Albania,1
Egypt,North Africa,1
Einsatzgruppen,Russia,1
Empire,Austria,1
Finland,Germany,1
Japan,Thailand,1
Iraq,Persia,1
Germany,Italy,1
Finland,Romania,1
France,Austria,1
France,British Empire,1
France,China,1
France,Czechoslovakia,1
France,India,1
France,Israel,1
Hong Kong,Malaya,1
France,North Korea,1
France,Poland,1
France,United States,1
France,the Russian Empire,1
Germany,Austria,1
Germany,Belgrade,1
Germany,Between Germany,1
Germany,Budapest,1
Germany,Japan,1
